name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
Electric Capital,VC firm,"Canada, India",$1M to $5M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in the cryptocurrency, blockchain, fintech, and marketplaces industries.",,,,https://www.openvc.app/fund/Electric%20Capital,venture-capital-firms
Exceptional Capita...,VC firm,USA,$100k to $5M,"2. Prototype, 3. Early Revenue",Never,We invest in B2B SaaS solutions.,,,,https://www.openvc.app/fund/Exceptional%20Capital,venture-capital-firms
Liquid 2 Ventures,VC firm,"Argentina, Brazil",$100k to $5M,"2. Prototype, 3. Early Revenue",Never,"We invest in seed-stage technology startups, including those with a focus on financial services and impact.",,,,https://www.openvc.app/fund/Liquid%202%20Ventures,venture-capital-firms
Tamarind Hill,VC firm,"USA, Canada",$500k to $3M,"3. Early Revenue, 4. Scaling",Always,"We invest in B2B Healthcare IT, supply chain infrastructure. Early product market fit,  early commercial traction.","Concentrated approach, active investors with significant partner and network time given to each company. Expertise in commercialization and go-to-market in our sectors.",,,https://www.openvc.app/fund/Tamarind%20Hill,venture-capital-firms
Two Sigma Ventures,VC firm,"Canada, Mexico",$250k to $15M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage companies led by highly driven founders.,,,,https://www.openvc.app/fund/Two%20Sigma%20Ventures,venture-capital-firms
Collide Capital,VC firm,USA,$100k to $5M,"3. Early Revenue, 4. Scaling",Never,"We invest in founders, focusing on equitable capital distribution.",,,,https://www.openvc.app/fund/Collide%20Capital,venture-capital-firms
Merian Ventures,VC firm,"UK, USA",$5k to $50k,"2. Prototype, 3. Early Revenue",Never,"We invest in women-founded and co-founded companies in blockchain, cybersecurity, artificial intelligence, machine learning, and consumer technology.",,,,https://www.openvc.app/fund/Merian%20Ventures,venture-capital-firms
Next Level Venture...,VC firm,USA,$500k to $10M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in agriculture, B2B, biotech, data, fintech.",,,,https://www.openvc.app/fund/Next%20Level%20Ventures,venture-capital-firms
Flyover Capital,VC firm,USA,$500k to $8M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage companies.,,,,https://www.openvc.app/fund/Flyover%20Capital,venture-capital-firms
Accion Venture,VC firm,"Kenya, Nigeria",$200k to $500k,"3. Early Revenue, 4. Scaling",Sometimes,We invest in for-profit enterprises with new products or business models that expand the range of high-quality financial services for underserved populations.,Investments managed by Accion Ventures have shown that early-stage companies can be highly impactful and have delivered multiple exits.,,,https://www.openvc.app/fund/Accion%20Venture,venture-capital-firms
True Wealth Ventur...,VC firm,USA,$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in consumer, greentech, health care.",,,,https://www.openvc.app/fund/True%20Wealth%20Ventures,venture-capital-firms
Canonical Crypto,VC firm,"Canada, UK",$100k to $5M,"3. Early Revenue, 4. Scaling",Never,We invest in technology companies focused on blockchain and cryptocurrency.,,,,https://www.openvc.app/fund/Canonical%20Crypto,venture-capital-firms
igniteXL Ventures,VC firm,"Brazil, Kenya",$100k to $500k,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in technology, beauty, and wellness ventures.",,,,https://www.openvc.app/fund/igniteXL%20Ventures,venture-capital-firms
Eagle Venture Fund,VC firm,"USA, Germany",$250k to $5M,"3. Early Revenue, 2. Prototype",Sometimes,"We invest in Healthtech, Blockchain, DevOps, Fintech, Energy, Analytics, Edtech startups.","## With Venture Builder as our base to build and support, we offer entrepreneurs-on-mission unparalleled one-to-one support",,,https://www.openvc.app/fund/Eagle%20Venture%20Fund,venture-capital-firms
Equal Ventures,VC firm,USA,$1M to $2M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in businesses that are disrupting legacy markets.,,,,https://www.openvc.app/fund/Equal%20Ventures,venture-capital-firms
Pantera Capital,VC firm,"USA, UAE",$5M to $100M,"1. Idea or Patent, 5. Growth",Always,"We invest in blockchain-related businesses, from seed to pre-IPO stages.",Our platform team comprehensively serves over 250 Founders.,,,https://www.openvc.app/fund/Pantera%20Capital,venture-capital-firms
Calendula VC,VC firm,"Germany, UK",$500k to $3M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in B2B Software, Fintech, AI","Client intros, talent acquisition, investor introductions",,,https://www.openvc.app/fund/Calendula%20VC,venture-capital-firms
Able Partners,VC firm,"Finland, Netherlands",$100k to $5M,"3. Early Revenue, 4. Scaling",Never,We invest in entrepreneurs and brands that promote healthier daily living.,,,,https://www.openvc.app/fund/Able%20Partners,venture-capital-firms
Meritech Capital P...,VC firm,"Brazil, Canada",$5M to $40M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in late-stage technology companies.,,,,https://www.openvc.app/fund/Meritech%20Capital%20Partners,venture-capital-firms
